Setup,Punishment,Alpha,Beta,Average Loss,Last Epoch Loss,is Loss min,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Total Reward,First 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Last 10 Avg Energy,First 10 Avg Safe Fail,Last 10 Avg Safe Fail,First 10 Avg Task Fail,Last 10 Avg Task Fail
1,1,1,1,-5.1222653,-7.0135803,0,9859,0.0761923807619238,9177,0.056994300569943,0.309175041594579,0.2879570575,0.0157371934275472,0.0087994652392799,-0.3249122350221251,-2.9675652273927993,0.2108050873244285,0.327254638,0.040259573579788,0.0085890192216998,0.2,0.0,0.7,0.0
1,1,1,2,-14.469729,-31.045696,0,9888,0.0812918708129187,9944,0.0610938906109389,0.3138252710374997,0.3354519749999999,0.0158045304549502,0.0096632701333345,-0.64345507252995,-6.805672201333345,0.1948409460878095,0.33484597346,0.0440015838395844,0.0103403828124337,0.3,0.0,0.5,0.0
1,1,1,5,-34.26529,-100.2764,0,9846,0.0982901709829017,9890,0.0715928407159284,0.3040593187782843,0.4222769325000001,0.0165563442833997,0.0103108464540017,-1.536852938174824,-21.216955089540015,0.1342613511752381,0.32919674702,0.0485453267079337,0.0092702876377332,0.4,0.0,0.6,0.0
1,1,1,10,-67.17728,-82.999405,0,9996,0.1016898310168983,9997,0.1056894310568943,0.2894052564411491,0.2157696705666666,0.0240596844823774,0.0378047487605762,-2.9181122488938795,-21.95501454427243,0.1483943420501904,0.3070461236766666,0.0444236044594773,0.0213041891878174,0.2,0.1,1.1,0.1
1,1,1,20,-15.9221735,-32.209984,0,9937,0.1095890410958904,10000,0.3624637536246375,0.0703291384565876,0.0294784413838095,0.0861009872478756,0.1199227111484272,-1.4926837563796411,-7.094915388246177,0.1435460711344047,0.0443182076900952,0.0482811609874832,0.1003383437947198,0.0,0.3,0.9,0.0
1,1,2,1,-7.5630546,-10.615771,0,9957,0.0670932906709329,9993,0.0550944905509449,0.3078991214435401,0.30033039,0.0171158992510342,0.0105353982720431,-0.3421309199456074,-3.2140118654408623,0.1149703846294285,0.3407696552691667,0.0573676374301038,0.0126956043101501,0.0,0.1,0.7,0.0
1,1,2,5,-19.091385,-40.50095,0,9922,0.0921907809219078,9986,0.2447755224477552,0.1916959702080683,0.1835774748666666,0.055612723343447,0.0623631900195308,-1.0697052977272332,-10.42613754372395,0.1798463553021428,0.2274861796366666,0.0419681435131398,0.0562976407375079,0.3,0.0,0.9,0.0
1,1,2,10,-7.2826295,-7.4279985,0,9833,0.1043895610438956,10001,0.365963403659634,0.0704539094921269,0.0222075419666666,0.0850044550960911,0.0861427007943835,-0.8745480051134489,-2.943608212554337,0.1546319997205,0.02847743951,0.0450041834282262,0.1039086453492861,0.3,0.3,0.6,0.0
1,1,2,20,-15.401511,-27.489132,0,9982,0.0932906709329067,10000,0.3907609239076092,0.0514634387751478,0.0259299075942857,0.0904199468789597,0.095502633184745,-1.2101086692608798,-7.096034182552043,0.1879309980035714,0.0262749450682857,0.0439219121461547,0.0973760997750346,0.2,0.6,0.9,0.0
1,1,5,1,-8.408132,-20.075178,0,10000,0.073992600739926,9995,0.2812718728127187,0.1236989716733683,0.2228007367166666,0.0731711372953051,0.0737853517803541,-0.4895546581498941,-5.917274956184373,0.1916567315249047,0.1005667301286904,0.0443550336336204,0.0764196464096009,0.1,0.3,0.7,0.1
1,1,5,2,-9.759571,-23.364758,0,9994,0.0744925507449255,9999,0.3690630936906309,0.0586985058659238,0.0278708486,0.0890500431598984,0.0940805004631563,-0.56264722753134,-5.261441995157821,0.1186875344335238,0.0551194177410476,0.0517820297444694,0.0892777154115436,0.2,0.6,1.1,0.1
1,1,5,10,-15.481744,-34.37803,0,9808,0.0938906109389061,9999,0.3738626137386261,0.0529125694576445,0.0326245915,0.0911352847859328,0.1230653399244407,-0.9848021185061148,-9.415726146222037,0.1488305185711904,0.02701620402,0.0434863508490172,0.1037932722896642,0.1,0.5,0.9,0.0
1,1,5,20,-21.562445,-54.859947,0,9972,0.0882911708829117,9999,0.3887611238876112,0.0497152075745204,0.0304035070999999,0.0919416531765704,0.1153304139587446,-1.4540124173732651,-11.847222117937232,0.1656180928884761,0.0279658651166666,0.0415364086430124,0.097978800949446,0.1,0.8,0.6,0.0
1,1,10,1,-11.771296,-27.681574,0,9396,0.0746925307469253,9985,0.1481851814818518,0.1880487247430952,0.174497146675,0.046593440723204,0.0539551853280146,-0.6539831319751362,-7.140489999551464,0.1741959785893333,0.1971426233870952,0.0426310142907547,0.039673160679527,0.1,0.0,0.6,0.0
