,id,number_of_cpu_cores,occupied_cores,voltages_frequencies,ISL,capacitance,powerIdle,batteryLevel,errorRate,acceptableTasks,handleSafeTask
0,iot 0,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)]]",0.16,"[2.0447728554228012e-10, 2.3212374080205522e-10, 2.643055779346258e-10, 2.628918039941745e-10, 2.4064696957092336e-10, 2.557946634368124e-10, 2.6097304717842533e-10, 2.323507594377139e-10]","[0.0009, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0009, 0.001, 0.001]",40000000000.0,0.04,"[1, 2, 3]",1
1,iot 1,4,"[0, 0, 0, 0]","[[(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)]]",0.13,"[2.194847124341326e-10, 2.033159033323968e-10, 2.7114181645567976e-10, 2.7927883620327474e-10]","[0.0009, 0.001, 0.0009, 0.001]",36000000000.0,0.03,"[4, 2, 3, 1]",1
2,iot 2,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.12,"[2.9718246713912295e-10, 2.852292715990168e-10, 2.845395847302755e-10, 2.2128827507928501e-10, 2.8161840999986626e-10, 2.0621525953427487e-10, 2.0338963416929189e-10, 2.766956416076629e-10, 2.1044995437219767e-10, 2.4201939114604517e-10, 2.927138695115506e-10, 2.849999192205518e-10, 2.798861192302069e-10, 2.414907335408361e-10, 2.831078343133266e-10, 2.6300544580734723e-10]","[0.001, 0.001, 0.001, 0.001, 0.0009, 0.0009, 0.0009, 0.0009, 0.0009, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999]",40000000000.0,0.04,"[1, 3, 2, 4]",1
3,iot 3,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)]]",0.18,"[2.6737175152927065e-10, 2.8378435853548103e-10, 2.827913803013068e-10, 2.1586374510651827e-10, 2.8499246083970037e-10, 2.2124976180282575e-10, 2.7467798062103927e-10, 2.1023150992288385e-10]","[0.001, 0.001, 0.0009, 0.001, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0009]",39000000000.0,0.01,"[1, 4, 2, 3]",1
4,iot 4,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (10000000.0, 1.8), (40000000.0, 2.7)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)]]",0.18,"[2.8331607486443285e-10, 2.1704050234083835e-10, 2.438621087256981e-10, 2.4027680015710676e-10, 2.133287415421045e-10, 2.6421428596172446e-10, 2.2122625382523986e-10, 2.749870529067996e-10, 2.318045448232157e-10, 2.883222240696804e-10, 2.0359264148072486e-10, 2.6530672666006187e-10, 2.91209971204775e-10, 2.756455284709832e-10, 2.2914899764191983e-10, 2.3856773159983e-10]","[0.0007999999999999999, 0.0009, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.0009]",36000000000.0,0.04,"[4, 2, 3, 1]",1
5,iot 5,4,"[0, 0, 0, 0]","[[(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)]]",0.12,"[2.416977904911838e-10, 2.230816287752099e-10, 2.609452534852127e-10, 2.863034957818133e-10]","[0.0009, 0.001, 0.0007999999999999999, 0.001]",37000000000.0,0.01,"[1, 2, 3]",1
6,iot 6,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.17,"[2.3569367069761383e-10, 2.5915305488183843e-10, 2.0630512754040024e-10, 2.603216894338703e-10, 2.0309495211482982e-10, 2.2498089801551553e-10, 2.2577816198095704e-10, 2.0028607008477612e-10, 2.3769881360015626e-10, 2.862684102763051e-10, 2.695041858768311e-10, 2.845530629922312e-10, 2.695696611174216e-10, 2.1360227165838403e-10, 2.824060144323572e-10, 2.6178704038927443e-10]","[0.001, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.001, 0.001, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.0009, 0.001, 0.001]",40000000000.0,0.04,"[3, 4, 1]",1
7,iot 7,4,"[0, 0, 0, 0]","[[(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)]]",0.15,"[2.028097219629782e-10, 2.83925008629171e-10, 2.2415881478704664e-10, 2.7997397278379293e-10]","[0.0009, 0.001, 0.0007999999999999999, 0.0009]",38000000000.0,0.05,"[1, 2, 3, 4]",1
8,iot 8,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)]]",0.17,"[2.2601943880590174e-10, 2.6309313946584496e-10, 2.968182667243756e-10, 2.817835587221085e-10, 2.5111297976856537e-10, 2.1670588502937922e-10, 2.5517124457695013e-10, 2.0417690937869702e-10, 2.457770340472803e-10, 2.85308433676743e-10, 2.979685442022572e-10, 2.5027972165997404e-10, 2.633188064542879e-10, 2.4540506713442255e-10, 2.0309064480451388e-10, 2.1581282694366002e-10]","[0.001, 0.0009, 0.0007999999999999999, 0.0009, 0.0009, 0.0009, 0.0009, 0.0009, 0.001, 0.001, 0.001, 0.001, 0.0007999999999999999, 0.0009, 0.0009, 0.001]",38000000000.0,0.01,"[2, 4, 3]",1
9,iot 9,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)]]",0.16,"[2.6569972049401787e-10, 2.6197929323212615e-10, 2.5037982047449886e-10, 2.127576656335123e-10, 2.38354813619359e-10, 2.88788239152169e-10, 2.79734154142442e-10, 2.759233088571901e-10, 2.3374422224072117e-10, 2.2853301468300816e-10, 2.0363231516065957e-10, 2.0489260899858604e-10, 2.2869829551934258e-10, 2.709835065714318e-10, 2.751619765936917e-10, 2.921028888252133e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0009, 0.001, 0.0009, 0.0009, 0.0009, 0.001, 0.001, 0.0007999999999999999, 0.0009, 0.0009, 0.001, 0.0009, 0.0009]",39000000000.0,0.03,"[1, 2, 4]",1
