,id,number_of_cpu_cores,occupied_cores,voltages_frequencies,ISL,capacitance,powerIdle,batteryLevel,errorRate,acceptableTasks,handleSafeTask
0,iot 0,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)]]",0.15,"[2.544566394377933e-10, 2.2396791848941563e-10, 2.171678931604743e-10, 2.6063364859068714e-10, 2.4161841789222787e-10, 2.858667327599849e-10, 2.660670782812368e-10, 2.1796034925382446e-10]","[0.001, 0.0009, 0.001, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.001]",38000000000.0,0.04,"[3, 2, 4]",1
1,iot 1,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.2,"[2.964231631326455e-10, 2.0946968395556285e-10, 2.1728403435002583e-10, 2.5229955948453444e-10, 2.1726366361372103e-10, 2.2760669566670032e-10, 2.1885725636566768e-10, 2.997281179840033e-10, 2.249587455887695e-10, 2.418311882305721e-10, 2.683962401392193e-10, 2.860826777844215e-10, 2.3211195576897978e-10, 2.7059435075175155e-10, 2.002766421573047e-10, 2.2895531587546642e-10]","[0.001, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.001, 0.001, 0.0007999999999999999, 0.001, 0.0009, 0.0009, 0.001, 0.0009, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.001]",39000000000.0,0.02,"[4, 1, 3]",1
2,iot 2,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (80000000.0, 4.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)]]",0.14,"[2.887812283663124e-10, 2.1774097389648778e-10, 2.1144809019155337e-10, 2.557136297940614e-10, 2.7251640605192493e-10, 2.6313376377586143e-10, 2.4463409016212226e-10, 2.53136171287648e-10, 2.2418742937763906e-10, 2.9926639751402363e-10, 2.893016498863224e-10, 2.1888120541227123e-10, 2.0536121176532176e-10, 2.0514342386088212e-10, 2.6399368111066874e-10, 2.801127249193799e-10]","[0.0009, 0.0009, 0.001, 0.0007999999999999999, 0.0009, 0.001, 0.0009, 0.001, 0.0009, 0.0009, 0.0009, 0.001, 0.001, 0.001, 0.0007999999999999999, 0.0007999999999999999]",36000000000.0,0.04,"[1, 2]",0
3,iot 3,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)]]",0.11,"[2.1305550587153352e-10, 2.9316119999547555e-10, 2.3689725641021696e-10, 2.599610295612537e-10, 2.0874946415287529e-10, 2.645034028808062e-10, 2.8735042939038174e-10, 2.3187880351571298e-10]","[0.0009, 0.0007999999999999999, 0.0009, 0.0009, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0009]",39000000000.0,0.03,"[4, 1, 2]",0
4,iot 4,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)]]",0.16,"[2.9245585172899175e-10, 2.1596491952549153e-10, 2.558769610969049e-10, 2.1985128670869464e-10, 2.1045042561220706e-10, 2.809465938503614e-10, 2.2340013534968942e-10, 2.796689981675387e-10]","[0.0007999999999999999, 0.0009, 0.0009, 0.0007999999999999999, 0.001, 0.0009, 0.001, 0.0009]",36000000000.0,0.01,"[3, 4, 2]",0
5,iot 5,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.12,"[2.721402294382597e-10, 2.805754443837813e-10, 2.0975292215918012e-10, 2.2940101010735523e-10, 2.2956889747127118e-10, 2.7149492327708187e-10, 2.9099143638256625e-10, 2.3040290847188165e-10]","[0.0009, 0.001, 0.001, 0.0009, 0.001, 0.0009, 0.0009, 0.001]",39000000000.0,0.03,"[2, 1, 4]",1
6,iot 6,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)]]",0.11,"[2.0612882781411505e-10, 2.6351830421476317e-10, 2.4847106592774185e-10, 2.4143217818487716e-10, 2.56932358010455e-10, 2.4467205545344454e-10, 2.394134386489097e-10, 2.095759049315424e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.0009]",39000000000.0,0.03,"[4, 2, 3]",1
7,iot 7,4,"[0, 0, 0, 0]","[[(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)]]",0.19,"[2.6609781332590853e-10, 2.743820378812923e-10, 2.8835526853477284e-10, 2.5811122330396555e-10]","[0.0009, 0.0007999999999999999, 0.001, 0.001]",36000000000.0,0.01,"[2, 3]",1
8,iot 8,4,"[0, 0, 0, 0]","[[(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)]]",0.16,"[2.35776946111138e-10, 2.3968681554661383e-10, 2.1147598779164363e-10, 2.417954101032458e-10]","[0.0009, 0.0007999999999999999, 0.001, 0.001]",39000000000.0,0.03,"[1, 3, 2]",1
9,iot 9,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)]]",0.17,"[2.171856710402576e-10, 2.8967247059461086e-10, 2.9769144154192136e-10, 2.788544897383205e-10, 2.5705912656745476e-10, 2.874655994861642e-10, 2.5805316401509366e-10, 2.268810711382579e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0009]",38000000000.0,0.01,"[1, 2]",1
10,iot 10,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)]]",0.17,"[2.8204611717273126e-10, 2.2463477921471073e-10, 2.3036081314290656e-10, 2.664896749425666e-10, 2.590517622588192e-10, 2.0504115432089513e-10, 2.430470822755399e-10, 2.0957571562988062e-10]","[0.0007999999999999999, 0.0009, 0.0009, 0.0009, 0.0007999999999999999, 0.0009, 0.0009, 0.0007999999999999999]",38000000000.0,0.02,"[2, 3, 1]",1
