,id,number_of_cpu_cores,occupied_cores,voltages_frequencies,ISL,capacitance,powerIdle,batteryLevel,errorRate,acceptableTasks,handleSafeTask
0,iot 0,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.17,"[2.0245071878287338e-10, 2.763729719259434e-10, 2.839643400442744e-10, 2.742880486096878e-10, 2.453779195050285e-10, 2.7976589225949776e-10, 2.7491915160042513e-10, 2.5321701296582093e-10]","[0.001, 0.001, 0.001, 0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0009]",36000000000.0,0.01,"[2, 4, 3]",1
1,iot 1,4,"[0, 0, 0, 0]","[[(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)]]",0.18,"[2.8088495351307255e-10, 2.1476762432016821e-10, 2.42372122812401e-10, 2.1848817024052345e-10]","[0.001, 0.001, 0.0007999999999999999, 0.001]",37000000000.0,0.03,"[4, 1]",1
2,iot 2,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)]]",0.11,"[2.406549602809167e-10, 2.1545484327574782e-10, 2.236130300351285e-10, 2.324667664150794e-10, 2.516238330779986e-10, 2.628642940235965e-10, 2.3279426535697887e-10, 2.539881595688861e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.001, 0.0009, 0.001, 0.0007999999999999999]",39000000000.0,0.01,"[1, 4]",1
3,iot 3,4,"[0, 0, 0, 0]","[[(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)]]",0.19,"[2.571749218596872e-10, 2.579493167569991e-10, 2.239412461067078e-10, 2.1888353112892124e-10]","[0.001, 0.001, 0.0007999999999999999, 0.0007999999999999999]",40000000000.0,0.03,"[1, 2]",1
4,iot 4,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)]]",0.11,"[2.903235073452481e-10, 2.516231213301205e-10, 2.397149984280542e-10, 2.568353346707934e-10, 2.0998957836276892e-10, 2.530381353491547e-10, 2.4827366371081834e-10, 2.4532630826022227e-10]","[0.0009, 0.001, 0.001, 0.0009, 0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999]",40000000000.0,0.05,"[2, 1]",1
5,iot 5,4,"[0, 0, 0, 0]","[[(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)]]",0.16,"[2.728246796624984e-10, 2.1469568603866917e-10, 2.4658215117851834e-10, 2.492852589780093e-10]","[0.0009, 0.0007999999999999999, 0.001, 0.0009]",40000000000.0,0.01,"[2, 1]",0
6,iot 6,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)]]",0.19,"[2.806315972480878e-10, 2.8985256776916007e-10, 2.3191163619159922e-10, 2.5233203057393404e-10, 2.3944288906845344e-10, 2.4133317002680023e-10, 2.856209161856913e-10, 2.607853491809667e-10, 2.351399984684188e-10, 2.8703804520138446e-10, 2.345009395037803e-10, 2.4971801597016053e-10, 2.474172860832222e-10, 2.768000984732704e-10, 2.410563971340328e-10, 2.2991725469151035e-10]","[0.0009, 0.0009, 0.0009, 0.001, 0.0009, 0.001, 0.0009, 0.0007999999999999999, 0.001, 0.001, 0.0009, 0.0007999999999999999, 0.0009, 0.001, 0.0009, 0.001]",40000000000.0,0.03,"[3, 1, 2]",1
7,iot 7,4,"[0, 0, 0, 0]","[[(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)]]",0.1,"[2.500778695463726e-10, 2.640900041824599e-10, 2.3812330520705715e-10, 2.958334118820102e-10]","[0.0007999999999999999, 0.001, 0.0009, 0.0007999999999999999]",37000000000.0,0.02,"[3, 4, 2]",1
8,iot 8,4,"[0, 0, 0, 0]","[[(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)]]",0.19,"[2.8556852409322127e-10, 2.4544780332939037e-10, 2.452725268808111e-10, 2.090637822093556e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0009]",39000000000.0,0.02,"[4, 2, 1]",1
9,iot 9,4,"[0, 0, 0, 0]","[[(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)]]",0.18,"[2.622265050465988e-10, 2.2146923137534263e-10, 2.2641710300441398e-10, 2.83337378060821e-10]","[0.001, 0.0009, 0.0009, 0.0007999999999999999]",38000000000.0,0.02,"[1, 3, 4]",0
