Setup,Learning Mode,Punishment,Alpha,Beta,Average Loss,Last Epoch Loss,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Last Epoch Reward,First 10 Avg Time,Mid 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Mid 10 Avg Energy,Last 10 Avg Energy,First 10 Avg Reward,Mid 10 Avg Reward,Last 10 Avg Reward,First 10 Avg Loss,Mid 10 Avg Loss,Last 10 Avg Loss,"First 10 (total, task, safe) Fail","Mid 10 (total, task, safe) Fail","Last 10 (total, task, safe) Fail"
1,1,-25,1,1,tensor(-0.9768),-0.0139569509774446,357,0.0528894221155768,4385,0.0057988402319536,0.1403050114036249,0.125,0.1688090166388519,0.0593769255607817,-0.4988450549397787,-0.1843769255607817,0.1193291666666666,0.125625,0.1403190790759302,1.9208347923041835,0.0662534027225696,0.1689181778675313,-5.790163958970851,-0.1918784027225696,-0.4991581857794138,-12.615921974182127,-0.160656265169382,-0.9776706417806066,0.1399999999999999,0.0,0.0076361088871096
1,1,-25,1,1,tensor(-0.9768),-0.0139569509774446,357,0.0528894221155768,4385,0.0057988402319536,0.1403050114036249,0.125,0.1688090166388519,0.0593769255607817,-0.4988450549397787,-0.1843769255607817,0.1193291666666666,0.125625,0.1403190790759302,1.9208347923041835,0.0662534027225696,0.1689181778675313,-5.790163958970851,-0.1918784027225696,-0.4991581857794138,-12.615921974182127,-0.160656265169382,-0.9776706417806066,0.1399999999999999,0.0,0.0070456365092073
1,1,-25,1,1,tensor(-0.9768),-0.0139569509774446,357,0.0528894221155768,4385,0.0057988402319536,0.1403050114036249,0.125,0.1688090166388519,0.0593769255607817,-0.4988450549397787,-0.1843769255607817,0.1193291666666666,0.125625,0.1403190790759302,1.9208347923041835,0.0662534027225696,0.1689181778675313,-5.790163958970851,-0.1918784027225696,-0.4991581857794138,-12.615921974182127,-0.160656265169382,-0.9776706417806066,0.0,0.0,0.0005904723779023
2,1,-500,1,1,tensor(-6.9638),1.1857026815414429,477,0.0555888822235552,2243,0.0085982803439312,0.1358709989715337,0.125,0.5072105160130109,0.0603744953351184,0.6082908995371782,5.3958336397930875,0.1292790476190476,0.1223416666666666,0.1358818797632154,2.352052378990657,0.2404269154738558,0.5076579065204797,-68.46085622388205,5.020114785969804,0.6034940484664038,-149.17626700401306,4.167234015464783,-6.9719282926357895,0.13,0.0,0.0077862289831865
2,1,-500,1,1,tensor(-6.9638),1.1857026815414429,477,0.0555888822235552,2243,0.0085982803439312,0.1358709989715337,0.125,0.5072105160130109,0.0603744953351184,0.6082908995371782,5.3958336397930875,0.1292790476190476,0.1223416666666666,0.1358818797632154,2.352052378990657,0.2404269154738558,0.5076579065204797,-68.46085622388205,5.020114785969804,0.6034940484664038,-149.17626700401306,4.167234015464783,-6.9719282926357895,0.13,0.0,0.0069155324259407
2,1,-500,1,1,tensor(-6.9638),1.1857026815414429,477,0.0555888822235552,2243,0.0085982803439312,0.1358709989715337,0.125,0.5072105160130109,0.0603744953351184,0.6082908995371782,5.3958336397930875,0.1292790476190476,0.1223416666666666,0.1358818797632154,2.352052378990657,0.2404269154738558,0.5076579065204797,-68.46085622388205,5.020114785969804,0.6034940484664038,-149.17626700401306,4.167234015464783,-6.9719282926357895,0.0,0.0,0.0008706965572457
3,1,-175914900,1,1,tensor(-9242531.),-4.410075664520264,470,0.1026794641071785,1055,0.0121975604879024,0.1421559097661656,0.159375,2.365106350488401,0.2246282847369759,-3448588.7034496455,-2.492304509852062,0.0958561904761904,0.1335041666666666,0.1421423743273708,2.8624666023289804,2.2330898866867055,2.3650003083577533,-51277799.658877954,-1759499.4759735037,-3452039.907059716,-111729832.88955688,-7015746.874150467,-9252473.662436372,0.11,0.01,0.0144215372297835
3,1,-175914900,1,1,tensor(-9242531.),-4.410075664520264,470,0.1026794641071785,1055,0.0121975604879024,0.1421559097661656,0.159375,2.365106350488401,0.2246282847369759,-3448588.7034496455,-2.492304509852062,0.0958561904761904,0.1335041666666666,0.1421423743273708,2.8624666023289804,2.2330898866867055,2.3650003083577533,-51277799.658877954,-1759499.4759735037,-3452039.907059716,-111729832.88955688,-7015746.874150467,-9252473.662436372,0.09,0.01,0.0131905524419532
3,1,-175914900,1,1,tensor(-9242531.),-4.410075664520264,470,0.1026794641071785,1055,0.0121975604879024,0.1421559097661656,0.159375,2.365106350488401,0.2246282847369759,-3448588.7034496455,-2.492304509852062,0.0958561904761904,0.1335041666666666,0.1421423743273708,2.8624666023289804,2.2330898866867055,2.3650003083577533,-51277799.658877954,-1759499.4759735037,-3452039.907059716,-111729832.88955688,-7015746.874150467,-9252473.662436372,0.02,0.0,0.0012309847878302
4,1,-183293000,1,1,tensor(-10015691.),-176.69003295898438,372,0.1006798640271945,534,0.0118976204759048,0.1417699980001995,0.1572499999999999,2.3540241518551803,2.6687580552155525,-3684155.9882817087,-99.72567061318792,0.1059498809523809,0.1529458333333333,0.1417719864544757,2.2213109490898564,3.036340610437723,2.35418955769428,-105780377.29227926,-824.1236908082768,-3687843.155152108,-230489844.8,-1469.3939392089844,-10026417.837435296,0.21,0.0,0.013901120896717
